2023-07-25 23:41:29.059 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 6320 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:41:29.067 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:41:30.339 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:41:30.466 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1334 ms
2023-07-25 23:41:31.718 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:41:31.963 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 3.339 seconds (JVM running for 4.298)
2023-07-25 23:41:32.732 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-25 23:41:32.733 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-25 23:42:24.523 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Starting PoseManagementApi using Java 1.8.0_341 on SC-202102120022 with PID 5620 (C:\Users\Administrator\Desktop\pose-management\pose-management-api\target\classes started by Administrator in C:\Users\Administrator\Desktop\pose-management)
2023-07-25 23:42:24.532 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - No active profile set, falling back to 1 default profile: "default"
2023-07-25 23:42:25.655 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-25 23:42:25.779 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1213 ms
2023-07-25 23:42:26.773 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-25 23:42:26.991 [main] INFO  com.zlht.pose.management.api.PoseManagementApi - Started PoseManagementApi in 2.79 seconds (JVM running for 3.678)
